,Age Chart-alias,State-alias,SUM(Positive Severe Depression)-alias,SUM(Total Depression Responses)-alias,Latitude (generated)-value,Latitude (generated)-alias,Longitude (generated)-value,Longitude (generated)-alias,ATTR(2021 Population Estimate)-alias,ATTR(Percentage Suffix Label %)-alias,ATTR(Tooltip Title Show)-alias,AGG(% at Risk)-alias,AGG(# per 100K)-alias,AGG(Formatted Show # or Percent Positive Age)-alias,AGG(Show # or Percent)-alias
37,TRUE,Illinois,18887,60324,40,40,-89.25,-89.25,12671469,%null%,Breakdown by County (All Years),31.31,149.0513847,149.1,0.22
38,TRUE,Idaho,3553,10136,44.0739,44.07,-114.542,-114.54,1900923,%null%,Breakdown by County (All Years),35.05,186.9092015,186.9,0.9
39,TRUE,Hawaii,2640,8668,20.79,20.79,-156.34,-156.34,1441553,%null%,Breakdown by County (All Years),30.46,183.1358264,183.1,0.84
40,TRUE,Georgia,17219,51914,32.1598,32.16,-83.4715,-83.47,10799566,%null%,Breakdown by County (All Years),33.17,159.4415924,159.4,0.46
41,TRUE,Florida,30323,91040,28.42,28.42,-81.55,-81.55,21781128,%null%,Breakdown by County (All Years),33.31,139.2168486,139.2,0.12
42,TRUE,District of Columbia,1009,4244,38.91,38.91,-77,-77,670050,%null%,Breakdown by County (All Years),23.77,150.5857772,150.6,0.3
43,TRUE,Delaware,1783,5941,38.6716,38.67,-75.4165,-75.42,1003384,%null%,Breakdown by County (All Years),30.01,177.6986677,177.7,0.78
44,TRUE,Connecticut,5235,17420,41.6227,41.62,-72.7028,-72.7,3605597,%null%,Breakdown by County (All Years),30.05,145.1909351,145.2,0.2
45,TRUE,Colorado,10922,33689,39,39,-105.5,-105.5,5812069,%null%,Breakdown by County (All Years),32.42,187.9193107,187.9,0.92
46,TRUE,California,59397,193491,37.25,37.25,-119.75,-119.75,39237836,%null%,Breakdown by County (All Years),30.7,151.3768496,151.4,0.32
47,TRUE,Arkansas,5588,15321,34.75,34.75,-92.5,-92.5,3025891,%null%,Breakdown by County (All Years),36.47,184.6728782,184.7,0.86
48,TRUE,Arizona,13443,39632,34.5,34.5,-111.5,-111.5,7276316,%null%,Breakdown by County (All Years),33.92,184.7500851,184.8,0.88
49,TRUE,Alaska,2231,6762,64,64,-150,-150,732673,%null%,Breakdown by County (All Years),32.99,304.5014625,304.5,1
50,TRUE,Alabama,9079,26216,32.75,32.75,-86.75,-86.75,5039877,%null%,Breakdown by County (All Years),34.63,180.1432852,180.1,0.8
